ID,Age,Height,HeightClass,Weight,BMI,Reach,ReachClass,Stance,WeightClass,T_Wins,T_Losses,T_Fights,Success,W_by_Decision,W_by_KO/TKO,W_by_Sub,L_by_Decision,L_by_KO/TKO,L_by_Sub,PWDec,PWTko,PWSub,PLDec,PLTko,PLSub,Available,TTime,Time_Avg,TLpM,AbpM,SubAtt_Avg
056c493bbd76a918,31.88,64,Short,125,21.454,64,Below,Orthodox,Flywieght,13,2,15,0.867,8,5,0,1,1,0,0.533,0.333,0,0.067,0.067,0,9,123.234,13.693,5.461,2.605,0.122
b102c26727306ab6,33.7,65,Short,125,20.799,67,Below,Orthodox,Flywieght,22,5,27,0.815,12,10,0,3,2,0,0.444,0.37,0,0.111,0.074,0,12,137.034,11.419,3.196,2.167,0.657
80eacd4da0617c57,34.41,64,Short,125,21.454,65,Below,Southpaw,Flywieght,26,5,31,0.839,10,7,9,4,1,0,0.323,0.226,0.29,0.129,0.032,0,24,278.699,11.612,4.41,2.515,0.7
a4de54ea806fb525,25.39,64,Short,125,21.454,63,Below,Orthodox,Flywieght,11,3,14,0.786,4,1,6,2,0,1,0.286,0.071,0.429,0.143,0,0.071,8,113.466,14.183,2.732,1.921,1.454
aa72b0f831d0bfe5,31.02,65,Short,125,20.799,68,Below,Orthodox,Flywieght,15,0,15,1,2,8,5,0,0,0,0.133,0.533,0.333,0,0,0,4,42.7,10.675,3.115,1.616,3.864
92437c6775b3f7d1,34.77,66,Average,125,20.173,66,Below,Orthodox,Flywieght,19,7,26,0.731,8,8,3,4,2,1,0.308,0.308,0.115,0.154,0.077,0.038,14,168.316,12.023,3.624,2.549,1.069
5aedf14771ca82d2,33.97,64,Short,125,21.454,65,Below,Southpaw,Flywieght,23,9,32,0.719,13,0,10,5,3,1,0.406,0,0.312,0.156,0.094,0.031,12,145.518,12.127,3.828,2.948,0.618
a0f0004aadf10b71,28.7,65,Short,125,20.799,67,Below,Orthodox,Flywieght,20,3,23,0.87,6,6,8,3,0,0,0.261,0.261,0.348,0.13,0,0,5,59.817,11.963,5.851,3.377,1.755
f53c1f4ceeed8c08,30,65,Short,125,20.799,65,Below,Orthodox,Flywieght,19,7,26,0.731,7,8,4,6,0,1,0.269,0.308,0.154,0.231,0,0.038,15,176.068,11.738,5.856,2.028,0.085
ab2b4ff41d6ebe0f,26.76,66,Average,125,20.173,65,Below,Orthodox,Flywieght,21,5,26,0.808,11,4,6,1,1,3,0.423,0.154,0.231,0.038,0.038,0.115,4,29.984,7.496,7.037,3.769,1.501
c96d9178c9ed9e62,32.01,67,Average,135,21.142,66,Below,Southpaw,Flywieght,15,8,24,0.625,6,3,6,4,1,3,0.25,0.125,0.25,0.167,0.042,0.125,10,126.633,12.663,8.323,2.298,1.421
87f19d19f4cb73f8,30.35,65,Short,125,20.799,65,Below,Orthodox,Flywieght,14,1,15,0.933,7,2,5,0,1,0,0.467,0.133,0.333,0,0.067,0,2,16.633,8.316,5.952,1.082,0
0fd5f4b838e890cc,26.72,68,Average,125,19.004,70,Below,Orthodox,Flywieght,12,1,13,0.923,7,2,3,1,0,0,0.538,0.154,0.231,0.077,0,0,1,15,15,5.733,2.133,0
20999e27ddd94bda,29.34,65,Short,125,20.799,68,Below,Orthodox,Flywieght,10,5,15,0.667,1,8,1,3,0,2,0.067,0.533,0.067,0.2,0,0.133,6,61.3,10.217,2.79,3.197,0.245
