year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1862,227.7,67.4,119.3,139,130,125.7,186.8,113,77.7,288.7,89.8,259,---,388.4,425.5,456.2,1824
1863,249.8,130.7,80.3,129.5,82.6,128.6,23.8,146.8,184.9,159.6,149.5,184.1,639.5,292.4,299.2,494,1650.1
1864,127.5,109.6,136.8,77.4,50.4,108.7,78.4,67.5,191.3,106.8,135.7,138.1,421.1,264.6,254.6,433.8,1328.1
1865,134.8,112.7,70.2,31.8,109.7,31,88.6,154.3,45.3,154,122.9,139.9,385.5,211.7,273.9,322.2,1195.2
1866,255.2,172.5,97.5,60.4,45.5,75.3,104.5,164.9,201.8,111.3,170,215.3,567.5,203.4,344.7,483,1674
1867,129.3,136.1,60.3,189.3,80.7,75.8,143.8,120.7,131.3,177.1,44.7,122.2,480.6,330.3,340.3,353.1,1411.2
1868,215.3,236.8,196.5,112.9,110.5,51.8,35.8,207.5,71.3,179.6,118.2,246.4,574.2,420,295.1,369.1,1782.6
1869,198.3,201,44.5,74.6,35.6,59.2,81.6,42.5,240.8,89,195.3,222.1,645.6,154.7,183.3,525.1,1484.5
1870,120,162.1,42.5,77.7,129.3,66.2,88.5,49.9,126.5,197.2,70.3,91.7,504.2,249.5,204.6,394,1221.9
1871,135.1,197.6,129.1,125.8,33.9,70.4,148.6,130.2,73.1,142.5,132.9,208.8,424.4,288.8,349.2,348.5,1528
1872,293.4,184,125.3,55.6,99.4,217.1,135.7,165.3,238,169.5,222.1,226.6,686.2,280.4,518.1,629.7,2132.2
1873,263.4,36,88.7,19,82.6,74.8,193.3,178.7,152.8,228.9,118,143,526.1,190.3,446.7,499.7,1579.2
1874,189.9,79.7,150,105.1,58.1,51.5,113.6,189.5,208,303.3,177.7,89.1,412.6,313.2,354.7,689,1715.6
1875,243.8,63.1,67.2,55.3,89.8,107.8,68.2,135.5,156.4,168.5,161.8,160.6,396,212.3,311.5,486.7,1478.1
1876,127.2,161.7,179.8,73.1,26.6,133.1,103.3,152.5,94.8,204.4,92.4,230.5,449.5,279.5,388.9,391.6,1579.4
1877,297.3,192.4,97.9,97.7,96,156.1,150.4,189.4,82.2,239.6,316.7,245.7,720.1,291.6,495.9,638.5,2161.3
1878,187,96.1,89,86,116.2,92.2,33.8,119.7,176.8,192.8,68.3,71.7,528.9,291.2,245.6,437.9,1329.5
1879,53.8,82.2,129.4,51.8,71.7,140.6,160.7,161,210.9,82.1,52.8,114,207.6,252.9,462.3,345.8,1310.9
1880,92.7,171.5,90.6,134.1,48.5,74.2,110.2,38.9,116.2,33.9,186.6,156.4,378.2,273.2,223.3,336.7,1253.7
1881,23.3,133.2,160.1,46.6,91,145.4,160,135.3,83.9,101,231.6,190.3,312.9,297.7,440.7,416.5,1501.7
1882,163.9,153.9,166.9,105.8,79.2,127.9,190.7,113.3,142.3,135.4,229.9,169.1,508.1,351.9,431.9,507.7,1778.4
1883,208.6,180.9,65.9,83.7,87,92.5,95.7,181,115.7,184.8,232.8,196.8,558.5,236.5,369.1,533.3,1725.2
1884,259.4,193.1,124.2,46.1,126.5,36.5,164.7,105.2,134.8,170.1,162.9,232.1,649.3,296.8,306.4,467.8,1755.6
1885,132.9,194.9,103.4,96.5,83.4,52.9,72.1,91,239,141.6,105.4,131.4,560,283.4,216,486,1444.6
1886,172,82.5,124.4,76.3,111.9,46.9,108.2,88.8,172.5,153.4,159.5,171.3,385.9,312.6,243.8,485.4,1467.6
1887,152.3,127.2,69.5,87.6,44.4,41.1,125.2,94.7,129.6,78,127.5,148.1,450.8,201.5,261,335.1,1225.3
1888,132.5,45.2,96.2,76,123.3,92.5,154.7,127.2,59.7,99,215.3,160.4,325.9,295.5,374.3,374,1382
1889,143.9,113,88.1,83.7,95.9,36.9,83.3,169.5,74,134.1,98.3,180.2,417.3,267.7,289.8,306.4,1301
1890,241,32.6,129.3,56,84.8,156.6,132.2,118.6,167.9,146.4,290.4,54.9,453.8,270.2,407.4,604.6,1610.6
1891,124.2,42.6,119.9,50.3,60.5,52.3,61,202.6,195.8,207.6,152.7,261.4,221.6,230.6,316,556,1530.8
1892,152.8,77,35.1,42.6,149.8,115,103.8,206.5,196.3,127.8,161.7,89.7,491.2,227.4,425.2,485.8,1458
1893,81.2,171.5,68.8,53.6,79.6,53.2,125.8,140.9,115.7,198.2,114.7,212.7,342.4,202,319.9,428.6,1415.9
1894,210.5,290,120.1,65.1,94.3,98.5,100.2,136.5,6.6,116.1,178.4,158.4,713.2,279.4,335.2,301.1,1574.5
1895,58,28.3,127.1,93.2,17.5,49,154.2,194.4,61.3,127.5,178.8,172.1,244.7,237.8,397.5,367.5,1261.3
1896,105.3,103.9,187.6,79.2,24.9,119.8,153.2,103,164,122.1,70.2,195.3,381.3,291.7,376,356.3,1428.5
1897,47.8,116.6,186.9,87.9,81.5,161.6,97.8,184.5,137,88.7,121.1,226.5,359.6,356.3,444,346.8,1537.8
1898,129.6,160.8,67.8,113.9,82.1,92.8,51.8,174.4,163.5,123.3,174,254,516.9,263.8,319,460.8,1588
1899,193.2,101,129.3,135.2,108,66.6,113.9,62.3,162.5,134.6,192.7,151.3,548.2,372.5,242.9,489.8,1550.7
1900,200,112.3,14.4,102.3,119.2,108,108.4,158.3,142.8,196.4,166,269.9,463.5,235.9,374.8,505.2,1698
1901,108.3,62.7,84.5,124.7,55.6,115,56.9,161.5,132.9,180.1,146.2,175.8,441,264.8,333.4,459.1,1404.1
1902,146,64.1,122.9,70.7,86.8,51.5,102.8,101.9,134.5,109.5,134,174.3,385.9,280.3,256.2,378.1,1299
1903,238,232.6,272.2,57.8,87.7,70.3,139.5,234,125.5,312.5,134.6,144.5,645,417.7,443.9,572.6,2049.4
1904,165.2,135,98.2,171,102,78.5,104.8,168.5,140.5,104.8,122.4,154.6,444.7,371.2,351.9,367.7,1545.6
1905,118.7,130.6,169.4,98.8,72.9,53,101.9,152.9,110.8,133.5,161.4,137.2,403.9,341,307.9,405.7,1441.2
1906,201.3,124.2,115.8,65.7,164.2,44.7,108,172.6,77.1,221.1,152.6,166.5,462.8,345.7,325.3,450.9,1613.9
1907,111.2,135,152.5,93.7,142.8,155.8,86.4,193.6,49.8,193.5,140.4,199.8,412.6,389,435.8,383.7,1654.4
1908,182,128.6,177.2,63,92.2,95.4,119.9,135.1,198.5,53.8,131.2,176.9,510.3,332.4,350.4,383.5,1553.8
1909,182.6,99.2,82.4,126.4,90.6,79.8,148.1,98.2,74.4,249.2,95.1,193.8,458.7,299.4,326,418.7,1519.7
1910,159,209.2,95.5,130.5,85.2,62.2,136.8,229.1,49.4,87.3,125.5,172.5,562,311.1,428,262.1,1542
1911,117,206.6,55.9,128.7,95.5,86.8,97.3,107.3,85.4,118.9,196.9,275.5,496.1,280.2,291.4,401.2,1571.9
1912,145.7,117,174.1,72.3,57.3,166,94.6,127.1,89.8,159.5,151.4,305.8,538.2,303.8,387.7,400.6,1660.6
1913,167.8,108.7,186.5,131.4,119.5,107.3,32.4,54.2,81,111.6,207,150.4,582.2,437.5,193.9,399.6,1457.8
1914,141.2,224,175.8,103.7,68.5,39.4,86,144.3,78.1,67.8,196.3,254.5,515.5,348,269.6,342.2,1579.5
1915,150.1,222.7,88.2,120.2,37,53.5,136.4,84.7,47.2,96.3,83.7,207.2,627.3,245.5,274.7,227.2,1327.3
1916,220.4,182,52.2,123.4,138.4,66.2,108.6,120.3,63.3,246.5,184.9,171.4,609.6,314.1,295.1,494.8,1677.7
1917,88.2,40.4,85.8,71.9,109,91.6,60,165.4,121.5,281.4,256,109.7,300,266.7,316.9,658.9,1480.9
1918,172.2,225.2,59.3,34.8,84,60.6,117.6,126.8,201.1,227.3,193.7,207.5,507.1,178,305,622.1,1710
1919,148.8,32.4,126.8,97.7,35.8,137.6,42.6,117.8,143.3,57.3,138.6,271.3,388.7,260.3,298,339.3,1350.1
1920,225.8,207.2,174.5,84.4,169.6,72.7,135,150.8,106.1,106.3,161.9,160.3,704.4,428.4,358.4,374.3,1754.4
1921,274.5,53.8,237.9,56.7,95.8,26.7,144.4,182.7,85.1,153.9,100.7,258.8,488.6,390.5,353.9,339.6,1671.1
1922,178.8,182.5,76.9,94.9,137.5,93.9,129.6,110,87,83.1,119.8,165.2,620,309.2,333.5,289.9,1459.2
1923,182.6,182.8,76.3,112.1,77.4,69.1,152.5,222.8,233,247.3,168.3,183.5,530.6,265.8,444.4,648.6,1907.7
1924,176.3,46,31.9,101.1,129.4,89.7,154.1,150.9,198.9,119.5,128.1,251.9,405.8,262.3,394.6,446.6,1577.7
