year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1919,44.9,66.2,104.6,107.2,201.9,165.2,197.3,161.8,116.5,90.9,49.7,29.9,---,413.8,524.2,257.1,1336.1
1920,30.9,50.3,72.9,112.3,143.1,182.8,108,120.5,106.1,79.5,33.1,31,111.2,328.3,411.3,218.7,1070.6
1921,23.8,49,68.2,162,174.2,222.1,160.9,126,116.6,52.3,53.4,24.4,103.8,404.4,509,222.4,1233.1
1922,38.9,39,121.4,176.1,159.9,138.7,128,118.6,101.2,104.6,46.4,18.4,102.2,457.4,385.3,252.2,1191.1
1923,27.1,31.7,119.5,138.3,172.6,100.9,127.3,99.1,104.3,86.4,54.5,38.1,77.2,430.3,327.2,245.3,1099.8
1924,24.9,54.1,113.2,117.9,124.9,130.8,116.3,82.3,97.4,76.3,47.1,21.2,117.2,356,329.3,220.8,1006.3
1925,23.3,43,93.6,146,113.4,251.5,149.8,128,115.9,62.6,73.2,36.7,87.5,353.1,529.2,251.8,1237
1926,22.9,31.6,67.7,116.3,182.6,190.2,169.9,151.3,107.9,86.7,46.2,31,91.1,366.5,511.5,240.8,1204.2
1927,25.6,47.8,96.9,136,190.2,178.1,138.3,129.6,100.7,82.9,56.8,28.2,104.4,423.1,446,240.4,1211.1
1928,35.4,67.2,58.8,133.1,191.9,167,115.7,125,139.3,68.2,45.2,34.5,130.7,383.7,407.7,252.7,1181.2
1929,41.4,45.9,154.3,148.4,202.8,205.2,152.2,98.1,98.8,84.2,36.9,34.4,121.8,505.5,455.4,219.9,1302.6
1930,28.3,71.4,88.9,139.9,179.1,195.2,107.6,108,89.8,63.3,55,22.7,134.1,408,410.7,208,1149.1
1931,46.4,52.2,113.5,120.5,162.4,102.6,82.7,166.9,91.6,87,32.4,15.7,121.3,396.5,352.1,211,1074
1932,34,85.3,82.4,146.5,160.5,192.7,104.3,109.6,94.5,67.3,43,31.6,135.1,389.4,406.6,204.8,1151.7
1933,41.9,71.9,113.8,95.9,131.5,191.3,144.1,137.8,145.7,63.4,46.4,23.7,145.4,341.2,473.2,255.6,1207.5
1934,34.3,63.2,90.1,113,139.4,183.7,198.7,105,117.3,53.1,51.8,11.4,121.2,342.5,487.3,222.2,1160.8
1935,42.4,50.7,92.8,127.4,249.6,141.5,195,118,103.6,44.2,43.5,45.7,104.4,469.7,454.6,191.3,1254.4
1936,34.6,62.2,49,172.4,184.3,182.1,123.7,128.6,90.7,86.9,37.2,18,142.6,405.7,434.4,214.8,1169.8
1937,25.8,69.8,111.2,72.4,193.2,158.5,117.7,141.8,117.1,68.2,50.7,40.7,113.6,376.8,418,236,1167.2
1938,27.8,60,64.3,172.1,173.4,152.6,135.7,169.6,90.3,68.8,29.4,43.4,128.5,409.9,457.8,188.5,1187.5
1939,46.8,39.7,106.2,134.8,189.5,235.9,107.7,137.3,117.3,110.8,28.4,22.3,129.9,430.6,480.9,256.4,1276.7
